VARIETY,"WHEN_TO_PLANT","SEEDS_OR_PLANTS_FOR_100_FT_ROW",ROWS_APART,APART_IN_ROW,DEPTH_TO_PLANT
Asparagus Seeds,Early Spring & Fall,1 1/2 ounces,"18 inches
FORDETZE",2 to 3 inches,1 inch
Asparagus Roots,Spring & Fall,80 to 100 roots,4 1/2 to 5 1/2 feet,12 inches,4 inches
"Beads, Dwarf Snap",Apr. to Aug. 15,1/2 pound,24 to 36 inches,3 inches,1 1/2 to 2 inches
"Beans, Pole Snap",May to Aug. 1,1/3 pound,30 to 40 inches,12 to 29 inches,1 1/2 to 2 inches
"Beans, Dwarf Lima",May to July 15,1/2 pound,36 to 42 inches,10 inches,1 1/2 to 2 1/2 in
"Beans, Pole Lima",May to July 1,1/2 pound,40 to 48 inches,6 to 12 inches,"in .
1 1/2 to 2"
"Broccoli, Seeds",Feb. to Mar. & June,1/2 ounce,12 inches,Drill,"1/2 in . ²
1/4 inch"
"Broccoli, Planis",Mar. to July,50 10 60 plants,36 inches,18 to 24 inches,
Brussel Sprouts,May to July,1 packet,30 to 36 inches,15 inches,1/2 inch
"Beets, Garden",Mar. 1o Aug. 15,1 ounce,15 to 18 inches,3 inches,1 inch
Cabbage Seeds,Jan. to May,1 packet,12 inches,Drill,1/4 inch
Cabbage Plants,"Mar. , Apr. - June , July",50 to 65 plants,24 to 36 inches,15 to 20 inches,
Carrots,Mar. to July 15,1 ounce,12 to 15 inches,2 to 3 inches,1/2 inch
Cauliflower Seed,Jan. 1o Mar.,1/4 ounce,3 - inch seed bed,3 - inch seed bed,1/4 inch
Cauliflower Plants,Mar. & Apr.,65 plants,30 inches,18 inches,
Celery Seed,Feb. 10 Apr.,1/4 ounce,8 - inch seed bed,Drill,1/2 inch
Celery Plants,June to Aug. 1,200,30 to 36 inches,6 inches,
"Carn , Garden",Mar. to July 20,1/4 pound,36 to 42 inches,10 to 15 inches,2 inches
Cucumber,Apr. to July 10,1/2 ounce,6 feet,6 to 12 inches,1 inch
Eggplant Seed,Feb. to Apr.,1 packet,Seed bed,Transplant 4 inches,1/2 inch
Eggplant Plants,May to July 1,50 to 60 plants,36 to 42 inches,24 inches,
Endive,Mar. to Aug. 1,1/2 ounce,14 to 16 inches,12 inches,1/4 inch
Kale,Feb. to Oct.,1 ounce,15 to 24 inches,Drill,1/2 inch
Kohlrabi,Mar .. May - Aug .. Sept.,1 ounce,18 inches,5 to 6 inches,1/2 inch
Leek,Mar. & Apr.,1 ounce,12 to 18 inches,5 to 6 inches,1/2 inch
"Lettuce , Leaf",Mar. to Sept.,1/2 ounce,12 to 15 inches,3 to 4 inches,1/2 inch
"Lettuce , Head",Feb. to Aug.,1/4 ounce,15 to 18 inches,8 to 10 inches,1/2 inch
"Melons , Musk",May to July,ounce -- 50 hills,6 feet,4 feet,1 inch
"Melons , Water",May to June,ounce -- 40 hills,10 feet,8 feet,1 inch
Mustard,Mar. to Sept.,1 ounce,15 inches,Drill,1/2 inch
Okra,May to June,2 ounces,36 10 42 inches,8 to 10 inches,1 inch
Onion Seed for Sets,Mar. to Apr.,1 1/2 ounces,12 inches,Drill 14 to inch,1/2 inch
Onion Seed for Onions,Mar. to Apr.,1/2 ounce,12 inches,Drill I to inch,
Onion Sets,Feb. to May,2 quarts,12 inches,4 inches,1/2 inch
Onion Plants,Feb. to May,300 plants,12 inches,4 inches,I inch
Parsley,"Feb. , Mar. - Sept .. Oct.",1 ounce,15 to 18 inches,Drill,1/2 inch
Parsnips,Mar. to June 1,1 ounce,18 to 20 inches,4 to 5 inches,3/4 inch
Peas,Feb. 10 Apr.,1/2 pound,24 to 48 inches,1 to 2 inches,1 1/2 to 2 inches
Pepper - Seed,"Feb. , Mar .. Apr.",1 packet,Plant bed,1/2 to 1 inch,1/4 inch
Pepper - Plants,May & June,65 plants,36 inches,18 inches,
"Potatoes , Irish",Mar .. Apr. & July,1/2 peck,28 to 36 inches,11 to 15 inches,3 to 4 inches
"Potatoes , Sweet",May & June,100,4 feet,10 to 12 inches,Ridge
Pumpkin,May & June,ounce,10 feet,10 feet,1 inch
Radish,Feb. to Sept.,1 ounce,10 to 12 inches,1 to 2 inches,1/2 inch
Rhubarb Seed,Mar. & Apr.,1 ounce,24 to 30 inches,4 to 5 inches,1/2 inch
Rhubarb Roots,Feb. to May,40 to 50,4 feet,2 feet,4 inches
Salsify,Mar. to June,1 1/2 ounces,14 to 18 inches,3 to 5 inches,I inch
Spinách,Apr .. May - Aug .. Sept.,2 ounces,12 inches,2 to 3 inches,1 inch
"Squash , Sumader :",Apr. to June,1 ounce,4 feet,3 feet,1 inch
"Squash , Winter",Apr. & May,1/2 ounce,8 feet,6 feet,I inch
Swiss Chard,Early Spring,1 ounce,14 to 16 inches,10 to 15 inches,1 inch
Tomato Seed,Feb. to June,1 packet,18 inches,1 inch,1/2 inch
Tomato Plants,Apr. to July 1,40 to 50,3 to 4 feet,2 to 3 inches,
Turnip,"Mar. , Apr. , June - Sept .",www .,15 to 18 inches,4 inches,1/2 inch
